"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0033013","tetrapyrrole metabolic process","14/708","61/18842",0.229508196721311,6.10790034268778,7.89532068527496,4.30978101969285e-08,1.53415976309538e-05,1.53415976309538e-05,"SLC25A39/ABCB10/PPOX/HMBS/ALAD/UROD/SLC6A9/BLVRB/UROS/SRRD/FECH/ALAS2/TMEM14B/SLC48A1",14
"GO:0000209","protein polyubiquitination","31/708","273/18842",0.113553113553114,3.021988369446,6.64947743416709,4.43549591371113e-08,1.53415976309538e-05,1.53415976309538e-05,"SKP1/UBE2H/MKRN1/UBE2D3/IFI27/RNF123/SHARPIN/CDC34/SPSB3/ARIH2/RNF187/MARCHF8/RNF5/UBE2V1/CDC27/RNF14/UBE2O/IL17RA/RBX1/UBE3B/GPS2/RMND5A/FBXO7/PPIA/SYVN1/TRIM58/TRIM56/AMFR/FBXO9/TRIP12/GABARAP",31
"GO:0061515","myeloid cell development","14/708","62/18842",0.225806451612903,6.00938582103153,7.80646345391131,5.37641990126735e-08,1.67732225436608e-05,1.67732225436608e-05,"ABCB10/HBD/HBQ1/GATA1/PLEK2/SMIM1/HBM/HBA2/HBA1/DMTN/TRIM58/EPB42/MIMS2/PIP4K2A",14
"GO:0000045","autophagosome assembly","19/708","115/18842",0.165217391304348,4.39692950135102,7.21976641175548,5.41991884914209e-08,1.67732225436608e-05,1.67732225436608e-05,"ATG4A/ATG14/WIPI2/GABARAPL2/UBQLN1/BECN1/ATG9A/USP33/GABARAPL1/IFT20/RETREG2/ATG2A/PINK1/WDR45/PIP4K2A/MAP1LC3B/ULK1/MFN2/GABARAP",19
"GO:1905037","autophagosome organization","19/708","121/18842",0.15702479338843,4.17889993930056,6.9314934870782,1.25249925726893e-07,3.68234781637066e-05,3.68234781637066e-05,"ATG4A/ATG14/WIPI2/GABARAPL2/UBQLN1/BECN1/ATG9A/USP33/GABARAPL1/IFT20/RETREG2/ATG2A/PINK1/WDR45/PIP4K2A/MAP1LC3B/ULK1/MFN2/GABARAP",19
"GO:0007033","vacuole organization","27/708","230/18842",0.117391304347826,3.12413411938099,6.40429205680063,1.6664672778951e-07,4.51739519601961e-05,4.51739519601961e-05,"CREG1/ATG4A/FLCN/CHMP3/ATG14/WIPI2/GABARAPL2/PI4KB/UBQLN1/BECN1/ATG9A/ATP6V1D/USP33/GABARAPL1/IFT20/RETREG2/ATG2A/PINK1/HPS1/WDR45/PIP4K2A/MCOLN1/MAP1LC3B/ATP6V0C/ULK1/MFN2/GABARAP",27
"GO:0016241","regulation of macroautophagy","24/708","188/18842",0.127659574468085,3.39740353407862,6.52763522824213,1.69018187606176e-07,4.51739519601961e-05,4.51739519601961e-05,"SKP1/CAPN1/FKBP8/ATG14/EIF2AK1/UBQLN1/BECN1/SESN3/WAC/RBX1/OPTN/ATP6V1D/FBXO7/HDAC6/IKBKG/USP33/ATG2A/PINK1/BNIP3L/WDR45/CSNK2A1/PIP4K2A/ATP6V0C/ULK1",24
"GO:0070936","protein K48-linked ubiquitination","17/708","101/18842",0.168316831683168,4.47941489064161,6.92775183821626,2.05201557276193e-07,5.24602242080007e-05,5.24602242080007e-05,"SKP1/UBE2H/UBE2D3/IFI27/CDC34/SPSB3/ARIH2/RNF187/RNF5/CDC27/RBX1/FBXO7/PPIA/SYVN1/AMFR/FBXO9/GABARAP",17
"GO:0016239","positive regulation of macroautophagy","16/708","90/18842",0.177777777777778,4.73119899560577,7.01080144204245,2.14296804855939e-07,5.25027171897051e-05,5.25027171897051e-05,"EIF2AK1/BECN1/SESN3/WAC/OPTN/FBXO7/HDAC6/IKBKG/USP33/ATG2A/PINK1/BNIP3L/WDR45/CSNK2A1/PIP4K2A/ULK1",16
"GO:0042176","regulation of protein catabolic process","37/708","401/18842",0.0922693266832918,2.45556306972681,5.82147153886637,4.95004099550572e-07,0.000115036909979124,0.000115036909979124,"ALAD/SNCA/GNA12/FURIN/USP9X/GABARAPL2/ELOB/CUL4A/DNAJB2/TSPAN5/BAG6/UBQLN1/VPS28/PSMA4/WAC/PSMD2/RBX1/RAD23A/ARAF/KAT2B/ODC1/PSMA5/UBB/ZER1/DDB1/IKBKG/PTEN/STX5/GPX1/PSMF1/PINK1/SNX3/MARCHF2/CSNK2A1/OAZ2/USP7/GABARAP",37
"GO:0006784","heme A biosynthetic process","6/708","10/18842",0.6,15.9677966101695,9.3547341157144,5.0866660875123e-07,0.000115036909979124,0.000115036909979124,"PPOX/HMBS/ALAD/UROD/UROS/FECH",6
